Fecha,BFPD,Produccion_Petroleo,BAPD
18/04/2008,2752,2697,55
19/04/2008,2901,2872,29
20/04/2008,2655,2615,40
21/04/2008,2639,2586,53
22/04/2008,2457,2334,123
23/04/2008,2174,2074,100
24/04/2008,2343,2202,141
25/04/2008,2258,2100,158
26/04/2008,2291,2131,160
27/04/2008,2315,2107,208
28/04/2008,2294,2088,206
29/04/2008,2284,2078,206
30/04/2008,2280,2052,228
01/05/2008,2244,2020,224
02/05/2008,2226,2003,223
03/05/2008,2204,1984,220
06/05/2008,2114,1903,211
09/05/2008,2107,1854,253
12/05/2008,2098,1804,294
21/05/2008,1978,1662,316
22/05/2008,1974,1658,316
23/05/2008,1975,1657,318
24/05/2008,1970,1655,315
08/06/2008,1921,1614,307
09/06/2008,1916,1571,345
12/06/2008,1915,1609,306
14/06/2008,1913,1454,459
22/06/2008,1850,1480,370
29/06/2008,1769,1415,354
07/07/2008,1735,1353,382
10/07/2008,1722,1343,379
14/08/2008,1795,1292,503
18/08/2008,1772,1276,496
20/08/2008,1656,1159,497
26/08/2008,1544,1081,463
09/09/2008,1296,907,389
10/09/2008,1428,971,457
11/09/2008,1421,938,483
13/09/2008,1367,902,465
22/09/2008,1120,739,381
23/09/2008,918,606,312
26/09/2008,1100,726,374
17/10/2008,785,502,283
21/10/2008,805,483,322
24/10/2008,785,471,314
06/11/2008,41,20,21
10/11/2008,389,233,156
16/11/2008,665,346,319
18/11/2008,809,421,388
20/11/2008,812,422,390
21/11/2008,815,424,391
30/11/2008,795,413,381
14/01/2009,840,445,395
17/01/2009,818,425,393
28/03/2009,156,81,75
29/03/2009,441,229,212
31/03/2009,511,266,245
01/04/2009,510,265,245
02/04/2009,515,268,247
09/04/2009,503,262,241
12/04/2009,531,276,255
17/04/2009,558,268,290
29/04/2009,558,246,312
07/05/2009,540,54,486
02/08/2010,540,38,502
01/04/2017,1426,18,1408
15/04/2017,2377,30,2347
05/05/2017,2289,29,2260
12/05/2017,1551,20,1531
18/05/2017,2263,29,2234
23/05/2017,2257,29,2228
28/05/2017,2283,143,2140
30/05/2017,2364,148,2216
01/06/2017,2361,148,2213
03/06/2017,2363,148,2215
08/06/2017,2369,149,2220
11/06/2017,2371,149,2222
15/06/2017,2383,150,2233
20/06/2017,2327,146,2181
05/07/2017,2302,145,2157
23/07/2017,2308,145,2163
28/08/2017,2310,146,2164
03/10/2017,2313,146,2167
29/10/2017,2325,146,2179
08/11/2017,2328,146,2182
17/12/2017,2336,147,2189
29/12/2017,2340,147,2193
28/01/2018,2344,147,2197
04/03/2018,2357,148,2209
25/03/2018,2364,137,2227
03/04/2018,2360,149,2211
23/04/2018,2366,149,2217
30/04/2018,2363,149,2214
09/05/2018,2365,148,2217
17/05/2018,2366,148,2218
25/06/2018,2374,150,2224
09/07/2018,2378,149,2229
19/07/2018,2379,150,2229
02/08/2018,2379,149,2230
11/08/2018,2381,149,2232
19/08/2018,2400,151,2249
29/08/2018,2404,151,2253
07/09/2018,2405,151,2254
23/09/2018,2416,152,2264
11/10/2018,2411,151,2260
19/10/2018,2412,151,2261
29/10/2018,2417,152,2265
05/11/2018,2414,151,2263
13/11/2018,2416,152,2264
22/11/2018,2417,152,2265
02/12/2018,2307,0,2307
03/12/2018,2355,0,2355
04/12/2018,2357,89,2268
05/12/2018,2377,149,2228
06/12/2018,2361,148,2213
07/12/2018,2350,148,2202
08/12/2018,2348,147,2201
07/01/2019,2289,144,2145
25/01/2019,2221,140,2081
03/02/2019,2295,144,2151
09/02/2019,2297,144,2153
16/02/2019,2274,143,2131
26/02/2019,2291,144,2147
02/03/2019,2291,144,2147
14/03/2019,2287,143,2144
22/03/2019,2285,143,2142
12/04/2019,2272,143,2129
02/05/2019,2294,144,2150
09/05/2019,2293,144,2149
02/06/2019,2291,144,2147
08/06/2019,2290,144,2146
15/06/2019,2289,144,2145
21/06/2019,2294,144,2150
30/06/2019,2298,144,2154
09/07/2019,2295,144,2151
15/07/2019,2304,145,2159
19/07/2019,2303,145,2158
28/07/2019,2306,145,2161
06/08/2019,2304,145,2159
15/08/2019,2307,145,2162
19/08/2019,2306,145,2161
01/09/2019,2311,145,2166
16/10/2019,2320,146,2174
25/10/2019,2315,146,2169
19/11/2019,2317,146,2171
27/11/2019,2306,145,2161
09/12/2019,2316,146,2170
21/12/2019,2311,145,2166
31/12/2019,2314,145,2169
02/01/2020,2314,145,2169
10/01/2020,2311,145,2166
22/01/2020,2297,144,2153
02/02/2020,2299,144,2155
09/02/2020,2293,144,2149
25/02/2020,2290,144,2146
06/03/2020,2289,144,2145
23/03/2020,2273,143,2130
22/05/2020,2285,143,2142
01/06/2020,2206,138,2068
08/06/2020,2203,138,2065
16/06/2020,2190,137,2053
26/06/2020,2197,138,2059
01/07/2020,2193,138,2055
10/07/2020,2190,137,2053
17/07/2020,2189,137,2052
28/07/2020,2186,137,2049
10/08/2020,2143,134,2009
19/08/2020,2138,134,2004
04/09/2020,2116,133,1983
04/09/2020,2116,133,1983
22/09/2020,2039,128,1911
06/10/2020,1876,118,1758
07/10/2020,2039,128,1911
23/10/2020,1959,0,1959
24/10/2020,1947,0,1947
26/10/2020,1941,25,1916
27/10/2020,1865,24,1841
28/10/2020,1947,49,1898
29/10/2020,1929,73,1856
30/10/2020,1932,97,1835
31/10/2020,1934,121,1813
01/11/2020,1932,121,1811
02/11/2020,1933,121,1812
03/11/2020,1967,123,1844
04/11/2020,1965,123,1842
05/11/2020,1965,123,1842
08/11/2020,2103,132,1971
22/11/2020,2098,132,1966
26/11/2020,2093,132,1961
05/12/2020,2083,131,1952
11/12/2020,2083,131,1952
19/12/2020,2073,130,1943
26/12/2020,2074,130,1944
05/01/2021,2070,130,1940
16/01/2021,2071,130,1941
29/01/2021,2068,130,1938
12/02/2021,2039,128,1911
02/03/2021,2036,128,1908
31/03/2021,2044,128,1916
13/04/2021,2037,128,1909
06/05/2021,2034,128,1906
14/05/2021,2030,127,1903
24/05/2021,2023,127,1896
05/06/2021,2010,126,1884
14/06/2021,2009,126,1883
20/06/2021,2007,126,1881
08/07/2021,2040,129,1911
08/07/2021,1984,125,1859
20/07/2021,1890,119,1771
02/08/2021,1900,114,1786
14/08/2021,1904,120,1784
22/08/2021,1784,112,1672
02/09/2021,1819,114,1705
13/09/2021,1816,114,1702
25/09/2021,1758,110,1648
06/10/2021,1768,111,1657
19/10/2021,1764,111,1653
22/10/2021,1715,108,1607
02/11/2021,1715,108,1607
05/11/2021,1676,105,1571
19/11/2021,1567,98,1469
26/11/2021,1570,98,1472
04/12/2021,1532,96,1436
08/12/2021,1503,94,1409
02/01/2022,1503,94,1409
03/01/2022,1503,94,1409
09/02/2022,1519,95,1424
22/02/2022,1514,95,1419
08/03/2022,1511,95,1416
21/03/2022,1500,94,1406
28/04/2022,1480,93,1387
10/05/2022,1476,92,1384
25/05/2022,1482,93,1389
08/06/2022,1453,91,1362
22/06/2022,1453,91,1362
30/06/2022,1453,91,1362
14/07/2022,1451,91,1360
15/07/2022,1450,91,1359
24/07/2022,1452,91,1361
08/08/2022,1451,91,1360
14/08/2022,1262,50,1212
16/09/2022,1428,72,1356
19/09/2022,1310,66,1244
12/10/2022,1308,66,1242
20/10/2022,1307,66,1241
07/11/2022,1307,66,1241
14/11/2022,1209,61,1148
07/12/2022,1208,61,1147
21/12/2022,1208,61,1147
31/12/2022,1207,61,1146
08/01/2023,1208,61,1147
17/01/2023,1200,55,1145
07/02/2023,1206,61,1145
26/02/2023,1204,61,1143
09/03/2023,1204,61,1143
20/03/2023,1203,61,1142
13/04/2023,1072,54,1018
19/04/2023,1078,54,1024
08/05/2023,1077,54,1023
16/05/2023,1076,54,1022
30/05/2023,1077,54,1023
13/06/2023,1075,54,1021
18/06/2023,1074,54,1020
20/06/2023,1069,40,1029
28/06/2023,1071,41,1030
11/07/2023,1070,41,1029
17/07/2023,1068,40,1028
26/07/2023,1068,40,1028
10/08/2023,1067,40,1027
24/09/2023,1071,41,1030
27/10/2023,1071,41,1030
28/10/2023,1072,41,1031
07/11/2023,1072,41,1031
22/11/2023,1071,41,1030
06/12/2023,1069,40,1029
16/12/2023,1070,41,1029
05/01/2024,1068,40,1028
18/01/2024,1068,40,1028
10/02/2024,1067,40,1027
27/02/2024,1067,40,1027
28/02/2024,934,35,899
04/03/2024,1053,40,1013
26/03/2024,1054,40,1014
